scheduler,scenario,seed,episode,sensor_pd,effective_pd,sensor_pfa,n_tp,n_fp,n_fn,n_tn,n_blind,poi,poi_periodic,poi_agile,poi_scanning,poi_time,n_bursts,n_caught,mean_tti,median_tti,intercept_rate_per_dwell,intercept_rate_per_s,discovery_ratio,n_predictions,n_dropped_predictions,correct_pred_pct,avg_pred_time_error,total_reward,mean_reward,blind_fraction,switch_rate,n_switches,us_per_decision_mean,us_per_decision_p99,n_dwells,n_emitters,n_bursts_total,scenario_file,seed_split,scenario_split,T,N,tau_switch,blind_pct
round_robin,train_default,0,0,0.7575757575757576,0.33783783783783783,0.0,25,0,8,2468,2499,0.026399155227032733,0.0275,0.021653543307086614,0.07692307692307693,0.004251700680272109,947,25,4.64,3.0,0.005,5.0,1.0,0,0,,,-6146.0,-1.2292,0.4998,0.4998,2499,0.84204,1.6,5000,4,947,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,1,0,0.6829268292682927,0.32941176470588235,0.0008130081300813008,28,2,13,2458,2499,0.029535864978902954,0.0275,0.0275049115913556,0.07692307692307693,0.004767580452920143,948,28,3.4642857142857144,2.5,0.0056,5.6,1.0,0,0,,,-6133.5,-1.2267,0.4998,0.4998,2499,0.9272799999999999,1.8,5000,4,948,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,2,0,0.725,0.3258426966292135,0.0016253555465258025,29,4,11,2457,2499,0.03131749460043196,0.0275,0.028688524590163935,0.10526315789473684,0.004942058623040218,926,29,4.862068965517241,4.0,0.0058,5.8,1.0,0,0,,,-6126.0,-1.2252,0.4998,0.4998,2499,0.9671799999999999,1.6,5000,4,926,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,3,0,0.696969696969697,0.3026315789473684,0.0,23,0,10,2468,2499,0.024261603375527425,0.025,0.0196078431372549,0.07894736842105263,0.003919563735514656,948,23,3.4782608695652173,2.0,0.0046,4.6,1.0,0,0,,,-6151.0,-1.2302,0.4998,0.4998,2499,0.7249200000000001,1.4,5000,4,948,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,4,0,0.8888888888888888,0.3855421686746988,0.00040567951318458417,32,1,4,2464,2499,0.03361344537815126,0.0325,0.029239766081871343,0.10256410256410256,0.005442176870748299,952,32,4.125,2.5,0.0064,6.4,1.0,0,0,,,-6126.0,-1.2252,0.4998,0.4998,2499,0.6777799999999999,1.3,5000,4,952,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,5,0,0.5227272727272727,0.23711340206185566,0.002035002035002035,23,5,21,2452,2499,0.024312896405919663,0.022443890274314215,0.019762845849802372,0.10256410256410256,0.003908241291418862,946,23,2.869565217391304,1.0,0.0046,4.6,1.0,0,0,,,-6138.5,-1.2277,0.4998,0.4998,2499,0.7638799999999999,1.5,5000,4,946,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,6,0,0.696969696969697,0.2948717948717949,0.0004051863857374392,23,1,10,2467,2499,0.02446808510638298,0.02493765586034913,0.018,0.10256410256410256,0.003908905506458192,940,23,4.695652173913044,3.0,0.0046,4.6,1.0,0,0,,,-6148.5,-1.2297,0.4998,0.4998,2499,0.5811799999999999,1.2,5000,4,940,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,7,0,0.75,0.32142857142857145,0.0008113590263691683,27,2,9,2463,2499,0.028938906752411574,0.02,0.030364372469635626,0.10256410256410256,0.004593399115345355,933,27,5.148148148148148,5.0,0.0054,5.4,0.75,0,0,,,-6146.0,-1.2292,0.4998,0.4998,2499,0.6456799999999999,1.3,5000,4,933,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,8,0,0.7105263157894737,0.32926829268292684,0.001218026796589525,27,3,11,2460,2499,0.028969957081545063,0.0225,0.028397565922920892,0.10256410256410256,0.004591836734693878,932,27,3.4444444444444446,3.0,0.0054,5.4,0.75,0,0,,,-6143.5,-1.2287,0.4998,0.4998,2499,0.6083400000000001,1.2,5000,4,932,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,9,0,0.6857142857142857,0.3076923076923077,0.0012165450121654502,24,3,11,2463,2499,0.025477707006369428,0.02743142144638404,0.017892644135188866,0.10526315789473684,0.004087889626980072,942,24,3.7916666666666665,2.0,0.0048,4.8,1.0,0,0,,,-6141.0,-1.2282,0.4998,0.4998,2499,0.59524,1.2,5000,4,942,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
round_robin,train_default,100,0,0.6774193548387096,0.3230769230769231,0.0008097165991902834,21,2,10,2468,2499,0.0220125786163522,0.025,0.013592233009708738,0.10256410256410256,0.003574468085106383,954,21,3.619047619047619,3.0,0.0042,4.2,1.0,0,0,,,-6151.0,-1.2302,0.4998,0.4998,2499,0.6440600000000001,1.3,5000,4,954,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
